"bbs_code","age2","sample_size","pooledMEAN","pooledVAR","sex","pooledSD","pooledCV","metric"
"AC","adults",72,329.85671641791,73.0305482762633,"all",8.54579126098124,2.59075860385216,"winglength"
"BZ","adults",517,390.638146521366,252.253182350891,"all",15.8824803589015,4.06577813773054,"winglength"
"BZ","non-adults",198,388.899389293139,209.287896257825,"all",14.4667859684805,3.71993023562605,"winglength"
"CN","adults",2323,269.424565647367,41.1471432707913,"all",6.41460390599383,2.38085339047721,"winglength"
"CN","non-adults",1777,259.15756893641,66.2623202127288,"all",8.14016708751908,3.14101074528773,"winglength"
"EA","adults",27,616.238095238095,528.875736961549,"all",22.9972984709411,3.7318852321286,"winglength"
"F.","adults",735,333.487698762278,119.907167263635,"all",10.9502131149871,3.28354333776874,"winglength"
"F.","non-adults",9,306,82,"all",9.05538513813742,2.9592761889338,"winglength"
"GB","adults",701,485.877270588235,298.841831518803,"all",17.2870423010648,3.55790306472578,"winglength"
"GB","non-adults",587,479.739978843175,373.040428447363,"all",19.3142545402965,4.02598394798575,"winglength"
"GU","adults",1837,202.599891126837,28.014662297508,"all",5.29288789768951,2.6124830908107,"winglength"
"GU","non-adults",13,197.384615384615,20.7564102564138,"all",4.55592035229039,2.30814359235289,"winglength"
"GX","adults",208,494.588304093567,78.6850609777903,"all",8.870460020641,1.79350379845676,"winglength"
"GX","non-adults",32,491.6875,119.899193548394,"all",10.9498490194337,2.2269935720216,"winglength"
"HG","adults",2768,418.011370352061,266.302301549294,"all",16.3187714473025,3.90390611469691,"winglength"
"HG","non-adults",3318,410.669102613252,327.320767052996,"all",18.0920083753296,4.405495387942,"winglength"
"K.","adults",1433,247.841499748487,93.0966880636915,"all",9.64866250128439,3.8930778384879,"winglength"
"K.","non-adults",1007,247.716897702641,104.190440239014,"all",10.2073718575848,4.12057956168888,"winglength"
"KI","adults",3420,306.996957833367,63.7845028747543,"all",7.98652007289497,2.60149811557088,"winglength"
"KI","non-adults",97,304.226804123711,127.760524054989,"all",11.3031201026526,3.71535970842867,"winglength"
"KT","adults",179,487.977782832878,232.066336045857,"all",15.2337236434779,3.12180680748227,"winglength"
"KT","non-adults",109,482.933333333333,318.29953918024,"all",17.8409511848511,3.69428862193217,"winglength"
"LB","adults",2594,417.132177268176,217.010091666569,"all",14.7312623921566,3.53155742830308,"winglength"
"LB","non-adults",653,412.466383236742,218.528552700678,"all",14.7827112770519,3.58397965939618,"winglength"
"MX","adults",6501,240.725950779612,24.4682663339991,"all",4.94654084527754,2.05484320625082,"winglength"
"MX","non-adults",1040,237.622115384615,26.9379127489447,"all",5.19017463568854,2.18421363149963,"winglength"
"NX","adults",49,422.469387755102,75.6709183673374,"all",8.69890328531921,2.05906120950989,"winglength"
"OP","adults",5,490.444444444444,471.839506172866,"all",21.7218670047689,4.42901683377707,"winglength"
"OP","non-adults",1,509,0,"all",0,0,"winglength"
"TE","adults",1156,305.193771626298,58.7758399616578,"all",7.66654028631284,2.51202383504089,"winglength"
"TE","non-adults",557,293.780969479354,96.7325148857635,"all",9.8352689279838,3.34782370192804,"winglength"
"TL","adults",2661,161.105842574664,11.3046464749204,"all",3.36223831322535,2.08697478594988,"winglength"
"TL","non-adults",20,161.2,7.74736842105267,"all",2.78340949575384,1.72668082863142,"winglength"
"TM","adults",73611,121.87142252158,9.21255558632947,"all",3.03521919905787,2.49050937148159,"winglength"
"TM","non-adults",75,121.553333333333,9.85522522522479,"all",3.13930330252188,2.58265505061308,"winglength"
"WE","non-adults",4,672,962,"all",31.0161248385416,4.61549476764013,"winglength"
